,startstationlatitude,startstationlongitude,startstationname,startstationid
340,40.71764,-73.94882,Frost St & Meeker St,3091
341,40.711066,-74.009447,Fulton St & Broadway,319
342,40.68415748,-73.96922273,Fulton St & Clermont Ave,397
343,40.68223166,-73.9614583,Fulton St & Grand Ave,365
344,40.688226,-73.979382,Fulton St & Rockwell Pl,243
345,40.6794268,-73.9298911,Fulton St & Utica Ave,3042
346,40.683048,-73.964915,Fulton St & Washington Ave,384
347,40.70955958,-74.00653609,Fulton St & William St,316
348,40.7104670233797,-74.0700387954712,Garfield Ave Station,3190
349,40.6711978,-73.97484126,Garfield Pl & 8 Ave,3358
350,40.715143,-73.944507,Graham Ave & Conselyea St,3086
351,40.711863,-73.944024,Graham Ave & Grand St,3081
352,40.71929301,-73.94500379,Graham Ave & Herbert St,3095
353,40.7169811,-73.94485918,Graham Ave & Withers St,3094
354,40.7643971,-73.97371465,Grand Army Plaza & Central Park S,281
355,40.6729679,-73.97087984,Grand Army Plaza & Plaza St West,3349
356,40.718822,-73.99596,Grand St & Elizabeth St,3435
357,40.72165481,-74.00234737,Grand St & Greene St,2010
358,40.71286844,-73.95698119,Grand St & Havemeyer St,471
359,40.72743423,-73.99379025,Great Jones St,229
360,40.6883337,-73.950916,Greene Ave & Nostrand Ave,3055
361,40.6894932,-73.942061,Greene Ave & Throop Ave,3054
362,40.73026,-73.95394,Greenpoint Ave & Manhattan Ave,3113
363,40.7390169121,-74.0026376103,Greenwich Ave & 8 Ave,284
364,40.735238,-74.000271,Greenwich Ave & Charles St,383
365,40.721319,-74.010065,Greenwich St & Hubert St,3436
366,40.72043411,-74.01020609,Greenwich St & N Moore St,329
367,40.7201522702329,-74.0103650093079,Greenwich St & North Moore St,329
368,40.71542197,-74.01121978,Greenwich St & Warren St,147
369,40.728846,-74.008591,Greenwich St & W Houston St,347
370,40.7195861164717,-74.0431174635887,Grove St PATH,3186
371,40.6823687,-73.944118,Halsey St & Tompkins Ave,3047
372,40.727595966,-74.044247311,Hamilton Park,3203
373,40.68216564,-73.95399026,Hancock St & Bedford Ave,436
374,40.6850680730818,-73.9779075980186,Hanson Pl & Ashland Pl,3429
375,40.6851595998918,-73.9771136641502,Hanson Pl & St Felix St,3222
376,40.71870987,-74.0090009,Harrison St & Hudson St,249
377,40.7487159453802,-74.0404433012009,Heights Elevator,3198
378,40.69089272,-73.99612349,Henry St & Atlantic Ave,157
379,40.6725058,-74.00494695,Henry St & Bay St,3330
380,40.6847514,-73.99917254,Henry St & Degraw St,3315
381,40.714215,-73.981346,Henry St & Grand St,502
382,40.700469,-73.991454,Henry St & Poplar St,407
383,40.6763744,-74.00324957,Henry St & W 9 St,3395
384,40.69512845,-73.99595065,Hicks St & Montague St,406
385,40.7311689,-74.0575736,Hilltop,3206
386,40.71167351,-73.95141312,Hope St & Union Ave,3082
387,40.71910537,-73.99973337,Howard St & Centre St,268
388,40.6843549,-73.98901629,Hoyt St & Warren St,3421
389,40.71625008,-74.0091059,Hudson St & Reade St,146
390,40.7031724,-73.940636,Humboldt St & Varet St,3068
391,40.73266,-73.95826,Huron St & Franklin St,3116
392,40.73165141,-73.96161892,India St & East River,3114
393,40.73232194,-73.9550858,India St & Manhattan Ave,3115
394,40.74524768,-73.94733276,Jackson Ave & 46 Rd,3121
395,40.695065,-73.987167,Jay St & Tech Pl,392
396,40.7165397809919,-74.0496379137039,JC Medical Center,3205
397,40.69474881,-73.98362464,Johnson St & Gold St,261
398,40.70862144,-74.00722156,John St & William St,376
399,40.6861758,-73.99645295,Kane St & Clinton St,3308
400,40.7203677529846,-73.9616507291794,Kent Ave & N 7 St,3016
401,40.72057658,-73.96150225,KentAve&N7 St,3104
402,40.7076449441757,-73.9684152603149,Kent Ave & S 11 St,282
403,40.67890679,-73.94142771,Kingston Ave & Herkimer St,3041
404,40.7086109809682,-73.9285039901733,Kiosk in a box Deployment,3266
405,40.6466778988979,-74.0163034200668,Kiosk in a box Motivate,3245
406,40.69072549,-73.95133465,Kosciuszko St & Nostrand Ave,3056
407,40.69128258,-73.9452416,Kosciuszko St & Tompkins Ave,3057
408,40.68900443,-73.96023854,Lafayette Ave & Classon Ave,364
409,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl,274
410,40.68851534,-73.9647628,Lafayette Ave & St James Pl,399
411,40.73028666,-73.9907647,Lafayette St & E 8 St,293
412,40.72456089,-73.99565293,Lafayette St & Jersey St,250
413,40.72456089,-73.99565293,Lafayette St & Jersey St N,250
414,40.72917025,-73.99810231,LaGuardia Pl & W 3 St,161
415,40.72185379,-74.00771779,Laight St & Hudson St,248
416,40.69236178,-73.98631746,Lawrence St & Willoughby St,323
417,40.680342423,-73.9557689392,Lefferts Pl & Franklin Ave,396
418,40.71928,-73.94861,Leonard St & Bayard St,3098
419,40.70583339,-73.94644578,Leonard St & Boerum St,3072
420,40.717571,-74.005549,Leonard St & Church St,320
421,40.71103537,-73.94714303,Leonard St & Grand St,3079
422,40.721522403393,-73.948982656002,Leonard St & Manhattan Ave,3099
423,40.7173184038558,-73.9482021331787,Leonard St & Meeker Ave,3089
424,40.6814598,-73.934903,Lewis Ave & Decatur St,3043
425,40.69237074,-73.93705428,Lewis Ave & Kosciuszko St,3058
426,40.686312,-73.935775,Lewis Ave & Madison St,3052
427,40.68676793,-73.95928168,Lexington Ave & Classon Ave,120
428,40.74025878,-73.98409214,Lexington Ave & E 24 St,537
429,40.7431155537649,-73.9821535348892,Lexington Ave & E 29 St,540
430,40.76440023,-73.96648977,Lexington Ave & E 63 St,3155
431,40.7112423,-74.0557013,Liberty Light Rail,3192
432,40.70905623,-74.01043382,Liberty St & Broadway,195
433,40.7246050998869,-74.0784059464931,Lincoln Park,3193
434,40.71939226,-74.00247214,Lispenard St & Broadway,257
435,40.70569254,-74.01677685,Little West St & 1 Pl,2008
436,40.70411791,-73.94818595,Lorimer St & Broadway,3069
437,40.72710258,-74.00297088,MacDougal St & Prince St,128
438,40.73226398,-73.99852205,MacDougal St & Washington Sq,252
439,40.6809833854,-73.9500479759,Macon St & Nostrand Ave,437
440,40.7781314,-73.96069399,Madison Ave & E 82 St,3362
