,startstationname,startstationlatitude,startstationlongitude,endstationname,endstationlatitude,endstationlongitude,probs
14895,E 15 St & 3 Ave,40.734232,-73.986923,Allen St & Stanton St,40.724055,-73.955736,0.14181866569792834
14987,E 15 St & 3 Ave,40.734232,-73.986923,Allen St & Stanton St,40.724055,-73.955736,0.9784101346204576
14996,E 14 St & Avenue B,40.72938685,-73.97772429,Allen St & Stanton St,40.724055,-73.955736,0.8556781271795836
15213,Forsyth St & Broome St,40.71893904,-73.99266288,Allen St & Stanton St,40.724055,-73.955736,0.3373481445383506
15708,West St & Chambers St,40.71754834,-74.01322069,Allen St & Stanton St,40.724055,-73.955736,0.7358628010211649
15728,Greenwich St & W Houston St,40.728846000000004,-74.00859100000001,Allen St & Stanton St,40.724055,-73.955736,0.14314471776524074
15804,Little West St & 1 Pl,40.70569254,-74.01677685,Allen St & Stanton St,40.724055,-73.955736,0.1343046935501303
15876,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.7946204191104503
15905,W 20 St & 7 Ave,40.74238787,-73.99726235,Allen St & Stanton St,40.724055,-73.955736,0.867412953001127
16022,E 14 St & Avenue B,40.72938685,-73.97772429,Allen St & Stanton St,40.724055,-73.955736,0.04909575090080598
16129,MacDougal St & Prince St,40.72710258,-74.00297088,Allen St & Stanton St,40.724055,-73.955736,0.2847588041964806
16230,Greenwich Ave & Charles St,40.735238,-74.000271,Allen St & Stanton St,40.724055,-73.955736,0.4536989102230148
16265,W 26 St & 8 Ave,40.74734825,-73.99723551,Allen St & Stanton St,40.724055,-73.955736,0.03941494893888886
16288,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Allen St & Stanton St,40.724055,-73.955736,0.9213611523834022
16479,Forsyth St & Broome St,40.71893904,-73.99266288,Allen St & Stanton St,40.724055,-73.955736,0.5191721751476118
16616,E 14 St & Avenue B,40.72938685,-73.97772429,Allen St & Stanton St,40.724055,-73.955736,0.5052138223964929
16627,E 23 St & 1 Ave,40.736502,-73.97809472,Allen St & Stanton St,40.724055,-73.955736,0.8013932688002181
16630,W 14 St & The High Line,40.74195138,-74.00803013,Allen St & Stanton St,40.724055,-73.955736,0.31243047102377286
16651,E 17 St & Broadway,40.73704984,-73.99009296,Allen St & Stanton St,40.724055,-73.955736,0.7938997557398094
16804,E 33 St & 2 Ave,40.744023,-73.976056,Allen St & Stanton St,40.724055,-73.955736,0.0766578334377157
16908,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Allen St & Stanton St,40.724055,-73.955736,0.2064444615212676
17073,Forsyth St & Broome St,40.71893904,-73.99266288,Allen St & Stanton St,40.724055,-73.955736,0.07292674155765022
17382,E 4 St & 2 Ave,40.726280700000004,-73.98978041,Allen St & Stanton St,40.724055,-73.955736,0.5606932042594734
17509,Carmine St & 6 Ave,40.73038599,-74.00214988,Allen St & Stanton St,40.724055,-73.955736,0.8561062531567486
17562,MacDougal St & Prince St,40.72710258,-74.00297088,Allen St & Stanton St,40.724055,-73.955736,0.6126980921330285
17578,1 Ave & E 15 St,40.73221853,-73.98165557,Allen St & Stanton St,40.724055,-73.955736,0.042987211940901604
18060,W 26 St & 8 Ave,40.74734825,-73.99723551,Allen St & Stanton St,40.724055,-73.955736,0.6390660366035266
18220,Allen St & Hester St,40.71605866,-73.99190759,Allen St & Stanton St,40.724055,-73.955736,0.15672197679460742
18444,Forsyth St & Broome St,40.71893904,-73.99266288,Allen St & Stanton St,40.724055,-73.955736,0.9170853857550761
18474,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,Allen St & Stanton St,40.724055,-73.955736,0.9967523803115234
18512,W 15 St & 7 Ave,40.73935542,-73.99931783,Allen St & Stanton St,40.724055,-73.955736,0.2486587643292998
18567,1 Ave & E 15 St,40.73221853,-73.98165557,Allen St & Stanton St,40.724055,-73.955736,0.9049805625480688
18572,Elizabeth St & Hester St,40.717290000000006,-73.996375,Allen St & Stanton St,40.724055,-73.955736,0.8876052156011589
18576,W 20 St & 7 Ave,40.74238787,-73.99726235,Allen St & Stanton St,40.724055,-73.955736,0.26446945261815635
18579,W 16 St & The High Line,40.74334935,-74.00681753,Allen St & Stanton St,40.724055,-73.955736,0.044131146837127266
18784,Allen St & Rivington St,40.72019576,-73.98997825,Allen St & Stanton St,40.724055,-73.955736,0.8072106672605858
19291,Cleveland Pl & Spring St,40.722103786686,-73.997249007225,Allen St & Stanton St,40.724055,-73.955736,0.5158674047730101
